,Year,Electricity,Short tons,Y3,X1,Workers,Heat content of coal,Heat content of oil,Head content of gas,F1,F2,Phase I
2080,87,1950430000,51380.96,8214.01 1,9130299.092,155,2.12E+13,17439786000,0,29333.5,1.339581,0
2103,87,12378163000,264590.55,41011.49 5,36196287.63,483,1.24E+14,2.65E+11,0,139229.38,34.308159,0
2107,87,3656467000,83216.93,28620.32,206883635.3,262,3.90E+13,31071600000,0,43803.88,4.018743,0
2526,87,794220388,12468.47,2984.76 8,2002985.996,83,8.49E+12,73080025200,0,6543.06,17.414553,0
2527,87,732301100,11612.32,3061.88 8,472909.1654,90,8.21E+12,1.16E+11,0,6092.91,14.958655,0
2535,87,2155297000,28205.36,6246.41 9,1208452.044,82,2.03E+13,13293525000,0,14864.44,1.711687,0
2549,87,3880109000,46855.14,16443.35 3,70746759.4,303,3.95E+13,0,0,24673.77,0,0
2554,87,3304890000,51143.44,9979.50 2,7548500.818,210,3.42E+13,0,0,26909.32,0,0
2642,87,1167207000,19863.8,3518.39,91893222.33,132,1.24E+13,35935200000,0,10449.3,3.783572,0
2706,87,2246022000,18029.76,9422.14,72645270.26,101,2.25E+13,58432819200,0,9463.13,2.976847,0
2718,87,1795127000,12258.25,5295.97 1,94456701.69,155,1.77E+13,1.68E+11,0,6431.63,8.54355,0
2721,87,2447075000,18146.98,7176.13 1,55449416.99,142,2.42E+13,44738240400,0,9563,2.292172,0
2727,87,8666656000,55321.25,23699.86 2,96862535.9,200,7.91E+13,2.41E+11,0,29143.55,12.324146,0
2790,87,261839200,3508.8,737.38,38107909.7,51,3.55E+12,0,3748500000,2343.15,0,0
2850,87,14598628000,172733.68,68829.22 4,78236781.68,555,1.44E+14,1.00E+11,0,90872.08,8.536108,0
2864,87,2467925900,61334.91,12746.07,207693635.9,279,2.78E+13,16724286600,0,32251.12,1.617916,0
2872,87,8626874000,314287.19,49876.4,367360562.9,370,8.24E+13,2.21E+11,0,165451.67,15.632911,0
2876,87,7520957000,205645.66,47414.70 2,94657489.94,338,7.32E+13,19992000000,0,108285.06,1.562845,0
3098,87,1477663000,3316.1,7803.83 2,21556806.8,230,1.70E+13,1.01E+11,0,12455.51,9.173153,0
3130,87,1198173000,16075.25,4611.46 1,7868085.015,104,1.35E+13,2.33E+11,0,8433.76,30.066152,0
3131,87,3694687000,57187.8,13824.40 1,93686681.69,139,3.77E+13,2.66E+11,0,30084.06,34.457001,0
3138,87,1900180000,24999.8,9850.42,139539085.8,168,2.17E+13,36830014200,0,13181.14,2.405292,0
3140,87,9254329000,126356.06,27465.26,287664576.8,216,9.11E+13,3.15E+11,0,66416.46,8.05237,0
3149,87,9940743000,103478.28,28191.40 2,93240837.4,194,9.47E+13,3.51E+11,0,54454.6,10.414498,0
3178,87,2295196000,32402.4,10453.36,88484340.41,83,2.36E+13,13370670600,0,17062.31,1.027012,0
3297,87,3824884000,37079.51,16263.82 1,31895703.05,92,3.78E+13,2.43E+11,0,19509.68,8.525689,0
3497,87,6678077000,60300.51,18682.37 1,78007345.48,256,7.04E+13,0,1.27E+12,40297.28,0,0
3644,87,817154000,3479.07,2944.41 5,6868627.255,104,9.19E+12,16581600000,0,1817.04,2.083793,0
3775,87,3216096000,16942.42,12819.13 1,64760214.06,180,2.98E+13,35330496600,0,8883.9,2.046582,0
3776,87,577684000,6581.31,4049.29 1,32840610.12,132,9.63E+12,1.27E+11,0,3446.56,3.229879,0
